"书名","nid","测一测上传图片","测一测音频","测一测答案选项","测一测对应的新标准单元"
"1AU1_panda","171","1AU1_Panda.jpg"," Panda.mp3","Panda, Cat, Bear, Dog","1A_U1"
"1AU1_Sam","172","1AU1_Sam.jpg"," Sam.mp3","Sam, Tom, Danny, Mike","1A_U1"
"1AU2_daddy","173","1AU2_Daddy.jpg"," Daddy.mp3","daddy, mummy, Sam, uncle","1A_U2"
"1AU2_mummy","174","1AU2_Mummy.jpg"," Mummy.mp3","mummy, grandma, uncle, daddy","1A_U2"
"1AU3_Lingling","175","1AU3_Lingling.jpg"," Lingling.mp3","Lingling, Lisa, Lucy, Lin","1A_U3"
"1AU3_rabbit","176","1AU3_Rabbit.jpg"," Rabbit.mp3","Rabbit, Panda, Dog, Cat","1A_U3"
"1AU4_Ball","177","1AU3_Ball.jpg"," Ball.mp3","ball, tall, bowl, box","1A_U3"
"1AU4_hands","178","1AU4_Hands.jpg"," Hands.mp3","hands, legs, arms, nose","1A_U4"
"1AU4_feet","179","1AU4_feet.jpg"," feet.mp3","feet, hand, meet, heat","1A_U4"
"1AU5_one","180","1AU5_one.jpg"," one.mp3","one, none, two, three","1A_U5"
"1AU5_two","181","1AU5_two.jpg"," two.mp3","two, one, three, four","1A_U5"
"1AU6_face","182","1AU6_face.jpg"," (443660)(新标准幼儿英语小学英语预备课程(教学卡片)(1A)(点读版)声音文件)1A_U6_01.mp3","face, arm, leg, hand","1A_U6"
"1AU6_eyes","183","1AU6_eyes.jpg"," eyes.mp3","eyes, hand, arm, face","1A_U6"
"1AU7_cat","184","1AU7_cat.jpg"," cat.mp3","cat, duck, dog, panda","1A_U7"
"1AU7_see","185","1AU7_see.jpg"," see.mp3","see, hear, find, meet","1A_U7"
"3AU1_Amy","186","3AU1_Amy.jpg"," 3AU1_Amy.mp3","Amy, Emma, April, Anne","3A_U1"
"1AU8_bed","187","1AU8_bed.jpg"," bed.mp3","bed, desk, chair, table","1A_U8"
"1AU8_chair","188","1AU8_chair.jpg"," chair.mp3","chair, bed, desk, table","1A_U8"
